Date,Open,High,Low,Close,Adj Close,Volume
2022-03-09,14.509200,14.675110,14.469050,14.491300,14.491300,0
2022-03-10,14.660600,14.919700,14.618340,14.659100,14.659100,0
2022-03-11,14.868000,14.988500,14.642900,14.838000,14.838000,0
2022-03-14,14.735650,14.891600,14.708130,14.750000,14.750000,0
2022-03-15,14.793500,14.837300,14.526620,14.774860,14.774860,0
2022-03-16,14.702120,14.750200,14.620000,14.700800,14.700800,0
2022-03-17,14.593000,14.798780,14.551780,14.557980,14.557980,0
2022-03-18,14.713200,14.819380,14.700100,14.703310,14.703310,0
2022-03-21,14.808420,14.850650,14.774110,14.806860,14.806860,0
2022-03-22,14.822200,14.850400,14.800800,14.821740,14.821740,0
2022-03-23,14.820800,14.852820,14.775640,14.818300,14.818300,0
2022-03-24,14.830900,14.865940,14.806870,14.826700,14.826700,0
2022-03-25,14.834700,14.851570,14.809400,14.836000,14.836000,0
2022-03-28,14.827600,14.849260,14.813700,14.827600,14.827600,0
2022-03-29,14.821400,14.839750,14.453740,14.821400,14.821400,0
2022-03-30,14.569250,14.681680,14.591450,14.569250,14.569250,0
2022-03-31,14.651010,14.685330,14.616800,14.651010,14.651010,0
2022-04-01,14.666200,14.695500,14.649280,14.666200,14.666200,0
2022-04-04,14.674040,14.714440,14.674840,14.674040,14.674040,0
2022-04-05,14.691500,14.727920,14.674780,14.691500,14.691500,0
2022-04-06,14.717900,14.744540,14.698500,14.717900,14.717900,0
2022-04-07,14.699590,14.761680,14.697500,14.699590,14.699590,0
2022-04-08,14.753700,14.758220,14.727340,14.753700,14.753700,0
2022-04-11,14.740200,14.749400,14.627440,14.740200,14.740200,0
2022-04-12,14.664600,14.690440,14.550060,14.664600,14.664600,0
2022-04-13,14.581500,14.601990,14.562360,14.581500,14.581500,0
2022-04-14,14.590600,14.629000,14.580300,14.590600,14.590600,0
2022-04-15,14.622700,14.661000,14.579020,14.622700,14.622700,0
2022-04-18,14.621800,14.649280,14.608300,14.621800,14.621800,0
2022-04-19,14.640900,14.667970,14.637700,14.640900,14.640900,0
2022-04-20,14.652000,14.676420,14.630000,14.652000,14.652000,0
2022-04-21,14.666800,14.704000,14.656800,14.666800,14.666800,0
2022-04-22,14.703990,14.754000,14.699100,14.703990,14.703990,0
2022-04-25,14.747100,14.776820,14.721650,14.747100,14.747100,0
2022-04-26,14.771900,14.805520,14.768500,14.771900,14.771900,0
2022-04-27,14.799700,14.832120,14.787650,14.799700,14.799700,0
2022-04-28,14.809800,14.825100,14.736030,14.809800,14.809800,0
2022-04-29,14.788890,14.861300,14.746500,14.788890,14.788890,0
2022-05-02,14.854900,14.899330,14.853700,14.854900,14.854900,0
2022-05-03,14.886700,14.904800,14.785460,14.886700,14.886700,0
2022-05-04,14.806800,14.841780,14.758590,14.806800,14.806800,0
2022-05-05,14.739700,14.868100,14.707480,14.739700,14.739700,0
2022-05-06,14.865080,14.952390,14.859870,14.865080,14.865080,0
2022-05-09,14.940130,15.113100,14.915500,14.940130,14.940130,0
2022-05-10,15.098400,15.265000,15.091570,15.098400,15.098400,0
2022-05-11,15.325450,15.372790,15.254100,15.325450,15.325450,0
2022-05-12,15.285400,15.403290,15.273500,15.285400,15.285400,0
2022-05-13,15.406800,15.485720,15.398300,15.406800,15.406800,0
2022-05-16,15.480200,15.658030,15.479500,15.480200,15.480200,0
2022-05-17,15.600300,15.883500,15.562780,15.600300,15.600300,0
2022-05-18,15.912000,15.975290,15.790070,15.912000,15.912000,0
2022-05-19,15.956300,15.977000,15.809800,15.956300,15.956300,0
2022-05-20,15.902650,15.984310,15.816560,15.902650,15.902650,0
2022-05-23,15.929900,15.963600,15.688000,15.929900,15.929900,0
2022-05-24,15.933100,16.150709,15.920590,15.933100,15.933100,0
2022-05-25,16.097500,16.398010,16.019779,16.097500,16.097500,0
2022-05-26,16.348000,16.448601,16.260900,16.348000,16.348000,0
2022-05-27,16.360701,16.399401,16.180000,16.360701,16.360701,0
2022-05-30,16.334299,16.391331,16.278070,16.334299,16.334299,0
2022-05-31,16.383499,16.427059,16.330990,16.383499,16.383499,0
2022-06-01,16.377729,16.454069,16.364260,16.377729,16.377729,0
2022-06-02,16.443701,16.475460,16.383970,16.443701,16.443701,0
2022-06-03,16.483500,16.536030,16.469999,16.483500,16.483500,0
2022-06-06,16.508699,16.597830,16.412600,16.508699,16.508699,0
2022-06-07,16.594330,16.770679,16.594330,16.594330,16.594330,0
2022-06-08,16.837099,17.190500,16.810499,16.837099,16.837099,0
2022-06-09,17.176991,17.256451,17.170200,17.176991,17.176991,0
2022-06-10,17.239599,17.256399,16.902700,17.239599,17.239599,0
2022-06-13,17.233900,17.269501,17.046801,17.233900,17.233900,0
2022-06-14,17.269100,17.281549,17.195299,17.269100,17.269100,0
2022-06-15,17.251280,17.300390,17.216129,17.251280,17.251280,0
2022-06-16,17.236401,17.320990,17.214500,17.236401,17.236401,0
2022-06-17,17.296600,17.327749,17.261650,17.296600,17.296600,0
2022-06-20,17.336500,17.351940,17.276331,17.336500,17.336500,0
2022-06-21,17.312201,17.365999,17.296881,17.312201,17.312201,0
2022-06-22,17.346001,17.359489,17.302860,17.346001,17.346001,0
2022-06-23,17.342600,17.374701,17.311440,17.342600,17.342600,0
2022-06-24,17.345900,17.375999,17.202610,17.345900,17.345900,0
2022-06-27,16.668900,16.735399,16.014750,16.668900,16.668900,0
2022-06-28,16.563801,16.665831,16.476839,16.563801,16.563801,0
2022-06-29,16.624500,16.706270,16.532221,16.624500,16.624500,0
2022-06-30,16.628201,16.702400,16.503281,16.628201,16.628201,0
2022-07-01,16.691900,16.761709,16.678400,16.691900,16.691900,0
2022-07-04,16.733540,16.834921,16.714750,16.733540,16.733540,0
2022-07-05,16.778431,17.049910,16.764299,16.778431,16.778431,0
2022-07-06,17.001400,17.245710,16.923071,17.001400,17.001400,0
2022-07-07,17.212500,17.301500,17.183479,17.212500,17.212500,0
2022-07-08,17.258900,17.322180,17.203991,17.258900,17.258900,0
2022-07-11,17.271601,17.387329,17.179970,17.271601,17.271601,0
2022-07-12,17.344700,17.395500,17.207890,17.344700,17.344700,0
2022-07-13,17.280500,17.453760,17.206800,17.280500,17.280500,0
2022-07-14,17.411200,17.503870,17.361380,17.411200,17.411200,0
2022-07-15,17.464100,17.488831,17.336330,17.464100,17.464100,0
2022-07-18,17.339600,17.506010,17.121920,17.339600,17.339600,0
2022-07-19,17.461000,17.585409,17.430189,17.461000,17.461000,0
2022-07-20,17.541201,17.598600,17.462891,17.541201,17.541201,0
2022-07-21,17.594999,17.745501,17.559999,17.594999,17.594999,0
2022-07-22,17.720480,17.760530,17.608120,17.720480,17.720480,0
2022-07-25,17.757299,17.847099,17.737000,17.757299,17.757299,0
2022-07-26,17.829201,17.873930,17.787189,17.829201,17.829201,0
2022-07-27,17.872000,17.930719,17.802530,17.872000,17.872000,0
2022-07-28,17.867399,17.936590,17.834949,17.867399,17.867399,0
2022-07-29,17.945200,17.953501,17.735121,17.945200,17.945200,0
2022-08-01,17.922501,17.951000,17.864010,17.922501,17.922501,0
2022-08-02,17.893499,17.955460,17.851650,17.893499,17.893499,0
2022-08-03,17.943100,17.994829,17.923981,17.943100,17.943100,0
2022-08-04,17.930700,17.969549,17.901690,17.930700,17.930700,0
2022-08-05,17.941700,17.969290,17.918270,17.941700,17.941700,0
2022-08-08,17.923700,17.972401,17.902170,17.923700,17.923700,0
2022-08-09,17.937799,17.964960,17.762501,17.937799,17.937799,0
2022-08-10,17.924000,17.962959,17.818300,17.924000,17.924000,0
2022-08-11,17.870100,17.963461,17.800550,17.870100,17.870100,0
2022-08-12,17.949100,17.962999,17.927660,17.949100,17.949100,0
2022-08-15,17.940001,17.964689,17.915640,17.940001,17.940001,0
2022-08-16,17.951860,17.966200,17.917900,17.951860,17.951860,0
2022-08-17,17.906250,17.964760,17.903280,17.906250,17.906250,0
2022-08-18,17.944000,18.110830,17.934130,17.944000,17.944000,0
2022-08-19,18.076700,18.114799,18.038931,18.076700,18.076700,0
2022-08-22,18.087799,18.123110,18.059561,18.087799,18.087799,0
2022-08-23,18.091000,18.127501,18.045500,18.091000,18.091000,0
2022-08-24,18.120899,18.160999,18.084961,18.120899,18.120899,0
2022-08-25,18.148001,18.172331,18.137119,18.148001,18.148001,0
2022-08-26,18.165800,18.185490,18.139620,18.165800,18.165800,0
2022-08-29,18.167509,18.189190,18.141529,18.167509,18.167509,0
2022-08-30,18.180000,18.194500,18.160360,18.180000,18.180000,0
2022-08-31,18.150261,18.223431,18.127001,18.150261,18.150261,0
2022-09-01,18.189199,18.213800,18.158039,18.189199,18.189199,0
2022-09-02,18.207100,18.233049,18.185780,18.207100,18.207100,0
2022-09-05,18.211029,18.225000,18.170370,18.211029,18.211029,0
2022-09-06,18.214149,18.228081,18.188480,18.214149,18.214149,0
2022-09-07,18.226210,18.245510,18.207270,18.226210,18.226210,0
2022-09-08,18.221201,18.239500,18.215010,18.221201,18.221201,0
2022-09-09,18.238701,18.243999,18.204901,18.238701,18.238701,0
2022-09-12,18.221399,18.245501,18.198950,18.221399,18.221399,0
2022-09-13,18.222500,18.255501,18.208900,18.222500,18.222500,0
2022-09-14,18.246401,18.257500,18.226801,18.246401,18.246401,0
2022-09-15,18.229071,18.266951,18.226490,18.229071,18.229071,0
2022-09-16,18.273220,18.287081,18.236549,18.273220,18.273220,0
2022-09-19,18.254299,18.298401,18.243299,18.254299,18.254299,0
2022-09-20,18.292900,18.311729,18.284500,18.292900,18.292900,0
2022-09-21,18.310720,18.332081,18.297800,18.310720,18.310720,0
2022-09-22,18.315001,18.398800,18.314690,18.315001,18.315001,0
2022-09-23,18.337999,18.417330,18.316401,18.337999,18.337999,0
2022-09-26,18.432501,18.461361,18.391399,18.432501,18.432501,0
2022-09-27,18.449499,18.487680,18.423910,18.449499,18.449499,0
2022-09-28,18.442900,18.540001,18.363609,18.442900,18.442900,0
2022-09-29,18.523300,18.547199,18.419901,18.523300,18.523300,0
2022-09-30,18.497499,18.552509,18.458920,18.497499,18.497499,0
2022-10-03,18.516199,18.567490,18.428030,18.516199,18.516199,0
2022-10-04,18.523701,18.585779,18.427771,18.523701,18.523701,0
2022-10-05,18.569700,18.626499,18.515051,18.569700,18.569700,0
2022-10-06,18.548340,18.585751,18.538799,18.548340,18.548340,0
2022-10-07,18.575300,18.588100,18.548241,18.575300,18.575300,0
2022-10-10,18.577999,18.624500,18.482580,18.577999,18.577999,0
2022-10-11,18.583099,18.653000,18.563700,18.583099,18.583099,0
2022-10-12,18.584101,18.595200,18.499050,18.584101,18.584101,0
2022-10-13,18.509899,18.590099,18.462021,18.509899,18.509899,0
2022-10-14,18.552900,18.593000,18.529230,18.552900,18.552900,0
2022-10-17,18.586901,18.589880,18.546980,18.586901,18.586901,0
2022-10-18,18.548910,18.591669,18.536440,18.548910,18.548910,0
2022-10-19,18.579901,18.593000,18.568750,18.579901,18.579901,0
2022-10-20,18.593100,18.599001,18.548510,18.593100,18.593100,0
2022-10-21,18.585699,18.602230,18.561060,18.585699,18.585699,0
2022-10-24,18.554331,18.625999,18.506620,18.554331,18.554331,0
2022-10-25,18.590799,18.613060,18.472321,18.590799,18.590799,0
2022-10-26,18.606800,18.611120,18.501200,18.606800,18.606800,0
2022-10-27,18.590401,18.643700,18.509420,18.590401,18.590401,0
2022-10-28,18.608900,18.629299,18.549740,18.608900,18.608900,0
2022-10-31,18.572969,18.639200,18.558720,18.572969,18.572969,0
2022-11-01,18.616671,18.631500,18.582590,18.616671,18.616671,0
2022-11-02,18.604300,18.631701,18.531521,18.604300,18.604300,0
2022-11-03,18.615000,18.638599,18.600571,18.615000,18.615000,0
2022-11-04,18.609200,18.624399,18.582920,18.609200,18.609200,0
2022-11-07,18.600071,18.611200,18.566240,18.600071,18.600071,0
2022-11-08,18.444000,18.607651,18.440090,18.444000,18.444000,0
2022-11-09,18.540501,18.602989,18.516491,18.540501,18.540501,0
2022-11-10,18.585039,18.609501,18.457121,18.585039,18.585039,0
2022-11-11,18.482651,18.582830,18.467489,18.482651,18.482651,0
2022-11-14,18.491619,18.608191,18.504601,18.491619,18.491619,0
2022-11-15,18.591101,18.624800,18.548000,18.591101,18.591101,0
2022-11-16,18.607700,18.617161,18.575029,18.607700,18.607700,0
2022-11-17,18.603680,18.620310,18.599590,18.603680,18.603680,0
2022-11-18,18.599199,18.620609,18.573111,18.599199,18.599199,0
2022-11-21,18.610430,18.629601,18.569201,18.610430,18.610430,0
2022-11-22,18.600599,18.639500,18.586670,18.600599,18.600599,0
2022-11-23,18.612101,18.630770,18.594851,18.612101,18.612101,0
2022-11-24,18.608999,18.631001,18.596430,18.608999,18.608999,0
2022-11-25,18.626801,18.635481,18.594130,18.626801,18.626801,0
2022-11-28,18.585100,18.633600,18.546499,18.629080,18.629080,0
